timestamp_ms,gpu_index,gpu_util_pct,mem_util_pct,power_w
1786172257052,0,0,0,69.33
1786172257052,1,0,0,69.20
1786172257189,0,0,0,69.31
1786172257189,1,0,0,69.16
1786172257326,0,0,0,69.30
1786172257326,1,0,0,69.13
1786172257463,0,0,0,69.32
1786172257463,1,0,0,69.16
1786172257602,0,0,0,69.34
1786172257602,1,0,0,69.12
1786172257740,0,0,0,69.37
1786172257740,1,0,0,68.99
1786172257880,0,0,0,69.39
1786172257880,1,0,0,68.98
1786172258018,0,0,0,69.42
1786172258018,1,0,0,68.98
1786172258156,0,0,0,69.46
1786172258156,1,0,0,68.98
1786172258294,0,0,0,69.46
1786172258294,1,0,0,68.98
1786172258433,0,0,0,69.45
1786172258433,1,0,0,68.94
1786172258571,0,0,0,69.41
1786172258571,1,0,0,68.97
1786172258709,0,0,0,69.42
1786172258709,1,0,0,68.97
1786172258848,0,0,0,69.40
1786172258848,1,0,0,68.96
1786172258985,0,0,0,69.41
1786172258985,1,0,0,68.99
1786172259123,0,0,0,69.41
1786172259123,1,0,0,69.06
1786172259260,0,0,0,69.38
1786172259260,1,0,0,69.05
1786172259397,0,0,0,69.37
1786172259397,1,0,0,69.04
1786172259535,0,0,0,69.38
1786172259535,1,0,0,69.02
1786172259674,0,0,0,69.37
1786172259674,1,0,0,69.07
1786172259812,0,0,0,69.37
1786172259812,1,0,0,69.09
1786172259950,0,0,0,69.33
1786172259950,1,0,0,69.07
1786172260089,0,0,0,69.33
1786172260089,1,0,0,69.05
1786172260227,0,0,0,69.32
1786172260227,1,0,0,69.05
1786172260364,0,0,0,69.34
1786172260364,1,0,0,69.02
1786172260502,0,0,0,69.36
1786172260502,1,0,0,69.01
1786172260639,0,0,0,69.36
1786172260639,1,0,0,69.01
1786172260776,0,0,0,69.33
1786172260776,1,0,0,68.99
1786172260913,0,0,0,69.36
1786172260913,1,0,0,68.95
1786172261050,0,0,0,69.36
1786172261050,1,0,0,68.93
1786172261187,0,0,0,69.36
1786172261187,1,0,0,68.92
1786172261325,0,0,0,69.37
1786172261325,1,0,0,68.92
1786172261464,0,0,0,69.38
1786172261464,1,0,0,68.91
1786172261600,0,0,0,69.43
1786172261600,1,0,0,68.90
1786172261739,0,0,0,69.46
1786172261739,1,0,0,68.91
1786172261882,0,0,0,69.45
1786172261882,1,0,0,68.90
1786172262019,0,0,0,69.45
1786172262019,1,0,0,68.91
1786172262157,0,0,0,69.50
1786172262157,1,0,0,68.96
1786172262294,0,0,0,69.46
1786172262294,1,0,0,68.94
1786172262431,0,0,0,69.43
1786172262431,1,0,0,68.98
1786172262568,0,0,0,69.39
1786172262568,1,0,0,68.93
1786172262705,0,0,0,69.36
1786172262705,1,0,0,68.92
1786172262844,0,0,0,69.36
1786172262844,1,0,0,68.95
1786172262983,0,0,0,69.33
1786172262983,1,0,0,68.97
1786172263120,0,0,0,69.34
1786172263120,1,0,0,69.04
1786172263259,0,0,0,69.34
1786172263259,1,0,0,69.08
1786172263397,0,0,0,69.34
1786172263397,1,0,0,69.13
1786172263533,0,0,0,69.36
1786172263533,1,0,0,69.15
1786172263670,0,0,0,69.38
1786172263670,1,0,0,69.20
1786172263807,0,0,0,69.38
1786172263807,1,0,0,69.27
1786172263943,0,0,0,69.38
1786172263943,1,0,0,69.25
1786172264080,0,0,0,69.36
1786172264080,1,0,0,69.22
1786172264217,0,0,0,69.37
1786172264217,1,0,0,69.14
1786172264355,0,0,0,69.34
1786172264355,1,0,0,69.11
1786172264492,0,0,0,69.33
1786172264492,1,0,0,69.08
1786172264630,0,0,0,69.36
1786172264630,1,0,0,69.10
1786172264768,0,0,0,69.38
1786172264768,1,0,0,69.11
1786172264905,0,0,0,69.36
1786172264905,1,0,0,69.11
1786172265042,0,0,0,69.39
1786172265042,1,0,0,69.16
1786172265179,0,0,0,69.39
1786172265179,1,0,0,69.17
1786172265316,0,0,0,69.41
1786172265316,1,0,0,69.18
1786172265453,0,0,0,69.47
1786172265453,1,0,0,69.19
1786172265591,0,0,0,69.46
1786172265591,1,0,0,69.14
1786172265727,0,0,0,69.46
1786172265727,1,0,0,69.19
1786172265864,0,0,0,69.44
1786172265864,1,0,0,69.16
1786172266001,0,0,0,69.42
1786172266001,1,0,0,69.11
1786172266137,0,0,0,69.42
1786172266137,1,0,0,69.12
1786172266275,0,0,0,69.42
1786172266275,1,0,0,69.12
1786172266412,0,0,0,69.39
