timestamp_ms,gpu_index,gpu_util_pct,mem_util_pct,power_w
1785971131150,0,0,0,73.87
1785971131150,1,0,0,73.42
1785971131437,0,0,0,73.91
1785971131437,1,0,0,73.44
1785971131572,0,0,0,73.97
1785971131572,1,0,0,73.47
1785971131708,0,0,0,73.89
1785971131708,1,0,0,73.44
1785971131852,0,0,0,73.90
1785971131852,1,0,0,73.44
1785971131987,0,0,0,73.98
1785971131987,1,0,0,73.44
1785971132122,0,0,0,73.95
1785971132122,1,0,0,73.45
1785971132259,0,0,0,73.87
1785971132259,1,0,0,73.44
1785971132395,0,0,0,73.92
1785971132395,1,0,0,73.44
1785971132529,0,0,0,73.91
1785971132529,1,0,0,73.44
1785971132664,0,0,0,73.88
1785971132664,1,0,0,73.43
1785971132800,0,0,0,73.91
1785971132800,1,0,0,73.45
1785971132937,0,0,0,73.93
1785971132937,1,0,0,73.45
1785971133073,0,0,0,73.88
1785971133073,1,0,0,73.46
1785971133209,0,0,0,73.88
1785971133209,1,0,0,73.46
1785971133345,0,0,0,73.97
1785971133345,1,0,0,73.47
1785971133479,0,0,0,73.90
1785971133479,1,0,0,73.47
1785971133615,0,0,0,73.93
1785971133615,1,0,0,73.48
1785971133843,0,0,0,73.96
1785971133843,1,0,0,73.50
1785971134057,0,0,0,73.91
1785971134057,1,0,0,73.87
1785971134194,0,0,0,73.96
1785971134194,1,0,0,74.18
1785971134328,0,0,0,74.00
1785971134328,1,0,0,74.48
1785971134462,0,0,0,73.88
1785971134462,1,0,0,75.07
1785971134597,0,0,0,73.91
1785971134597,1,0,0,75.42
1785971134734,0,0,0,73.96
1785971134734,1,0,0,75.67
1785971134869,0,0,0,73.84
1785971134869,1,0,0,76.31
1785971135004,0,0,0,73.83
1785971135004,1,0,0,76.54
1785971135140,0,0,0,73.87
1785971135140,1,0,0,76.57
1785971135275,0,0,0,73.85
1785971135275,1,0,0,76.57
1785971135409,0,0,0,73.84
1785971135409,1,0,0,76.57
1785971135545,0,0,0,73.85
1785971135545,1,0,0,76.55
1785971135681,0,0,0,73.89
1785971135681,1,0,0,76.56
1785971135817,0,0,0,73.83
1785971135817,1,0,0,76.51
1785971135953,0,0,0,73.84
1785971135953,1,0,0,75.89
1785971136089,0,0,0,73.95
1785971136089,1,0,0,75.58
1785971136224,0,0,0,73.85
1785971136224,1,0,0,75.24
1785971136359,0,0,0,73.83
1785971136359,1,0,0,74.62
1785971136495,0,0,0,73.90
1785971136495,1,0,0,74.35
1785971136630,0,0,0,73.92
1785971136630,1,0,0,74.05
1785971136769,0,0,0,73.83
1785971136769,1,0,0,73.43
1785971136905,0,0,0,73.88
1785971136905,1,0,0,73.44
1785971137042,0,0,0,73.93
1785971137042,1,0,0,73.43
1785971137178,0,0,0,73.84
1785971137178,1,0,0,73.44
1785971137323,0,0,0,73.87
1785971137323,1,0,0,73.45
1785971137491,0,0,0,73.92
1785971137491,1,0,0,73.44
1785971137626,0,0,0,73.83
1785971137626,1,0,0,73.45
1785971137761,0,0,0,73.85
1785971137761,1,0,0,73.46
1785971137896,0,0,0,73.93
1785971137896,1,0,0,73.47
1785971138032,0,0,0,73.88
1785971138032,1,0,0,73.46
1785971138167,0,0,0,73.86
1785971138167,1,0,0,73.47
1785971138303,0,0,0,73.90
1785971138303,1,0,0,73.45
1785971138439,0,0,0,73.96
1785971138439,1,0,0,73.46
1785971138574,0,0,0,73.87
1785971138574,1,0,0,73.45
1785971138709,0,0,0,73.89
1785971138709,1,0,0,73.46
1785971138845,0,0,0,73.96
1785971138845,1,0,0,73.45
1785971138981,0,0,0,73.87
1785971138981,1,0,0,73.46
1785971139118,0,0,0,73.87
1785971139118,1,0,0,73.45
1785971139253,0,0,0,73.91
1785971139253,1,0,0,73.47
1785971139388,0,0,0,73.88
1785971139388,1,0,0,73.46
1785971139522,0,0,0,73.84
1785971139522,1,0,0,73.46
1785971139658,0,0,0,73.88
1785971139658,1,0,0,73.45
1785971139794,0,0,0,73.92
1785971139794,1,0,0,73.45
1785971139928,0,0,0,73.84
1785971139928,1,0,0,73.45
1785971140064,0,0,0,73.92
1785971140064,1,0,0,73.46
1785971140202,0,0,0,73.97
1785971140202,1,0,0,73.47
1785971140337,0,0,0,73.89
1785971140337,1,0,0,73.46
1785971140472,0,0,0,73.89
1785971140472,1,0,0,73.50
1785971140608,0,0,0,73.93
1785971140608,1,0,0,73.50
1785971140743,0,0,0,73.90
1785971140743,1,0,0,73.50
1785971140879,0,0,0,73.85
1785971140879,1,0,0,73.49
1785971141015,0,0,0,73.87
1785971141015,1,0,0,73.49
1785971141151,0,0,0,73.93
1785971141151,1,0,0,73.46
1785971141286,0,0,0,73.80
1785971141286,1,0,0,73.45
1785971141421,0,0,0,73.83
1785971141421,1,0,0,73.44
1785971141557,0,0,0,73.87
1785971141557,1,0,0,73.42
1785971141693,0,0,0,73.82
1785971141693,1,0,0,73.42
1785971141827,0,0,0,73.82
1785971141827,1,0,0,73.42
1785971141963,0,0,0,73.85
1785971141963,1,0,0,73.43
1785971142100,0,0,0,73.89
1785971142100,1,0,0,73.43
1785971142235,0,0,0,73.84
1785971142235,1,0,0,73.45
1785971142369,0,0,0,73.92
1785971142369,1,0,0,73.46
1785971142504,0,0,0,73.95
1785971142504,1,0,0,73.45
1785971142639,0,0,0,73.88
1785971142639,1,0,0,73.44
1785971142775,0,0,0,73.91
1785971142775,1,0,0,73.42
1785971142910,0,0,0,73.97
1785971142910,1,0,0,73.42
1785971143045,0,0,0,73.93
1785971143045,1,0,0,73.40
1785971143181,0,0,0,73.87
1785971143181,1,0,0,73.40
1785971143316,0,0,0,73.91
1785971143316,1,0,0,73.39
1785971143453,0,0,0,73.94
1785971143453,1,0,0,73.43
1785971143589,0,0,0,73.87
1785971143589,1,0,0,73.43
1785971143725,0,0,0,73.88
1785971143725,1,0,0,73.46
1785971143860,0,0,0,73.92
1785971143860,1,0,0,73.47
1785971143995,0,0,0,73.87
1785971143995,1,0,0,73.49
1785971144132,0,0,0,73.89
1785971144132,1,0,0,73.48
1785971144267,0,0,0,73.98
1785971144267,1,0,0,73.48
1785971144403,0,0,0,73.92
1785971144403,1,0,0,73.49
1785971144540,0,0,0,73.88
1785971144540,1,0,0,73.47
1785971144675,0,0,0,73.92
1785971144675,1,0,0,73.47
1785971144809,0,0,0,73.94
1785971144809,1,0,0,73.46
1785971144944,0,0,0,73.86
1785971144944,1,0,0,73.45
1785971145081,0,0,0,73.86
1785971145081,1,0,0,73.45
1785971145218,0,0,0,73.94
1785971145218,1,0,0,73.46
1785971145354,0,0,0,73.89
1785971145354,1,0,0,73.44
1785971145490,0,0,0,73.87
1785971145490,1,0,0,73.44
1785971145625,0,0,0,73.93
1785971145625,1,0,0,73.44
1785971145760,0,0,0,73.99
1785971145760,1,0,0,73.44
1785971145896,0,0,0,73.87
1785971145896,1,0,0,73.44
1785971146031,0,0,0,73.91
1785971146031,1,0,0,73.44
1785971146166,0,0,0,73.97
1785971146166,1,0,0,73.47
1785971146301,0,0,0,73.86
1785971146301,1,0,0,73.45
1785971146436,0,0,0,73.85
