---S1---
ver	len	step_s	gen_s	upd_s	tr_idle	ro_idle	wait_s	mfu	reward	ratio
0	-1	None	None	None	-1	0.0	-1	-1	-99	None
1	837.0	553.1	39.9	513.0	0.072	0.23	32.4	0.0222	-0.879	0.078
2	1526.0	73.8	1.4	45.5	0.018	0.0	0.9	0.036	-0.861	0.019
ver	len	step_s	gen_s	upd_s	tr_idle	ro_idle	wait_s	mfu	reward	ratio
0	-1	None	None	None	-1	0.0	-1	-1	-99	None
1	877.0	560.4	45.9	514.3	0.082	0.235	40.5	0.0232	-0.887	0.089
2	911.0	603.7	18.9	554.5	0.031	0.512	13.3	0.0243	-0.873	0.032
3	874.0	591.5	18.1	542.4	0.031	0.546	12.8	0.024	-0.845	0.032
