timestamp_ms,gpu_index,gpu_util_pct,mem_util_pct,power_w
1786161004857,0,0,0,70.33
1786161004857,1,0,0,69.47
1786161005071,0,0,0,70.32
1786161005071,1,0,0,69.50
1786161005208,0,0,0,70.32
1786161005208,1,0,0,69.54
1786161005344,0,0,0,70.33
1786161005344,1,0,0,69.49
1786161005480,0,0,0,70.34
1786161005480,1,0,0,69.51
1786161005615,0,0,0,70.33
1786161005615,1,0,0,69.52
1786161005750,0,0,0,70.35
1786161005750,1,0,0,69.46
1786161005886,0,0,0,70.33
1786161005886,1,0,0,69.49
1786161006021,0,0,0,70.32
1786161006021,1,0,0,69.53
1786161006158,0,0,0,70.34
1786161006158,1,0,0,69.50
1786161006293,0,0,0,70.34
1786161006293,1,0,0,69.46
1786161006430,0,0,0,70.34
1786161006430,1,0,0,69.52
1786161006566,0,0,0,70.36
1786161006566,1,0,0,69.55
1786161006702,0,0,0,70.36
1786161006702,1,0,0,69.50
1786161006838,0,0,0,70.35
1786161006838,1,0,0,69.52
1786161006974,0,0,0,70.34
1786161006974,1,0,0,69.56
1786161007109,0,0,0,70.33
1786161007109,1,0,0,69.54
1786161007245,0,0,0,70.34
1786161007245,1,0,0,69.55
1786161007770,0,0,0,70.36
1786161007770,1,0,0,69.56
1786161007906,0,0,0,70.34
1786161007906,1,0,0,69.60
1786161008042,0,0,0,70.35
1786161008042,1,0,0,69.57
1786161008178,0,0,0,70.36
1786161008178,1,0,0,69.57
1786161008314,0,0,0,70.35
1786161008314,1,0,0,69.58
1786161008450,0,0,0,70.35
1786161008450,1,0,0,69.59
1786161008586,0,0,0,70.34
1786161008586,1,0,0,69.59
1786161008722,0,0,0,70.34
1786161008722,1,0,0,69.57
1786161008859,0,0,0,70.37
1786161008859,1,0,0,69.59
1786161009088,0,0,0,70.36
1786161009088,1,0,0,69.58
1786161009224,0,0,0,70.36
1786161009224,1,0,0,69.57
1786161009359,0,0,0,70.36
1786161009359,1,0,0,69.61
1786161009495,0,0,0,70.36
1786161009495,1,0,0,69.54
1786161009631,0,0,0,70.36
1786161009631,1,0,0,69.54
1786161009767,0,0,0,70.35
1786161009767,1,0,0,69.57
