0	-1	None	None	None	-1	0.0	-1	-1	-99	None
1	7005.0	734.7	321.0	413.4	0.437	0.074	314.2	0.3749	-0.152	0.776
2	7097.0	856.0	294.6	556.5	0.344	0.059	286.9	0.3803	-0.101	0.525
3	7289.0	795.2	219.4	571.2	0.276	0.08	212.0	0.3799	-0.066	0.381
4	6998.0	805.8	256.6	544.9	0.318	0.093	248.8	0.3845	0.093	0.467
5	6550.0	768.4	249.8	514.2	0.325	0.103	242.0	0.3809	0.227	0.482
6	6354.0	734.3	232.2	497.8	0.316	0.083	224.6	0.3825	0.292	0.463
7	6553.0	756.1	240.6	511.2	0.318	0.094	232.9	0.3844	0.272	0.467
8	6376.0	718.9	217.0	497.5	0.302	0.086	208.8	0.3838	0.341	0.432
9	6173.0	705.2	219.6	481.3	0.311	0.074	211.9	0.3841	0.38	0.452
10	6333.0	730.0	232.4	493.1	0.318	0.072	224.7	0.3843	0.31	0.467
11	5959.0	654.0	185.4	463.8	0.284	0.095	177.1	0.387	0.403	0.396
12	6486.0	161.8	32.0	125.7	0.198	0.0	30.2	0.3881	0.346	0.246
