timestamp_ms,gpu_index,gpu_util_pct,mem_util_pct,power_w
1786172272026,0,0,0,70.49
1786172272026,1,0,0,69.69
1786172272238,0,0,0,70.50
1786172272238,1,0,0,69.74
1786172272378,0,0,0,70.49
1786172272378,1,0,0,69.68
1786172272514,0,0,0,70.49
1786172272514,1,0,0,69.67
1786172272650,0,0,0,70.49
1786172272650,1,0,0,69.71
1786172272786,0,0,0,70.48
1786172272786,1,0,0,69.62
1786172272921,0,0,0,70.45
1786172272921,1,0,0,69.67
1786172273056,0,0,0,70.45
1786172273056,1,0,0,69.67
1786172273201,0,0,0,70.45
1786172273201,1,0,0,69.65
1786172273336,0,0,0,70.44
1786172273336,1,0,0,69.62
1786172273472,0,0,0,70.43
1786172273472,1,0,0,69.67
1786172273608,0,0,0,70.45
1786172273608,1,0,0,69.66
1786172273743,0,0,0,70.44
1786172273743,1,0,0,69.61
1786172273878,0,0,0,70.43
1786172273878,1,0,0,69.65
1786172274015,0,0,0,70.45
1786172274015,1,0,0,69.69
1786172274152,0,0,0,70.46
1786172274152,1,0,0,69.68
1786172274287,0,0,0,70.43
1786172274287,1,0,0,69.68
1786172274422,0,0,0,70.45
1786172274422,1,0,0,69.67
1786172274558,0,0,0,70.45
1786172274558,1,0,0,69.66
1786172274825,0,0,0,70.82
1786172274825,1,0,0,69.70
1786172275038,0,0,0,71.12
1786172275038,1,0,0,69.71
1786172275173,0,0,0,71.69
1786172275173,1,0,0,69.69
1786172275308,0,0,0,72.00
1786172275308,1,0,0,69.75
1786172275443,0,0,0,72.57
1786172275443,1,0,0,69.77
1786172275578,0,0,0,72.89
1786172275578,1,0,0,69.70
1786172275713,0,0,0,73.18
1786172275713,1,0,0,69.73
1786172275848,0,0,0,73.45
1786172275848,1,0,0,69.75
1786172275983,0,0,0,73.46
1786172275983,1,0,0,69.72
1786172276118,0,0,0,73.45
1786172276118,1,0,0,69.68
1786172276252,0,0,0,73.45
1786172276252,1,0,0,69.71
1786172276387,0,0,0,73.46
1786172276387,1,0,0,69.75
1786172276521,0,0,0,73.47
1786172276521,1,0,0,69.70
1786172276657,0,0,0,73.09
1786172276657,1,0,0,69.73
1786172276794,0,0,0,72.81
1786172276794,1,0,0,69.74
1786172276929,0,0,0,72.53
1786172276929,1,0,0,69.69
1786172277064,0,0,0,71.92
1786172277064,1,0,0,69.73
1786172277200,0,0,0,71.66
1786172277200,1,0,0,69.71
1786172277335,0,0,0,71.31
1786172277335,1,0,0,69.72
1786172277470,0,0,0,70.70
1786172277470,1,0,0,69.68
1786172277605,0,0,0,70.48
1786172277605,1,0,0,69.72
1786172277740,0,0,0,70.49
1786172277740,1,0,0,69.75
1786172277876,0,0,0,70.47
1786172277876,1,0,0,69.69
1786172278010,0,0,0,70.49
1786172278010,1,0,0,69.69
1786172278146,0,0,0,70.49
1786172278146,1,0,0,69.74
1786172278281,0,0,0,70.49
1786172278281,1,0,0,69.74
1786172278416,0,0,0,70.50
1786172278416,1,0,0,69.70
1786172278691,0,0,0,70.48
1786172278691,1,0,0,69.72
1786172278826,0,0,0,70.49
1786172278826,1,0,0,69.65
1786172278962,0,0,0,70.50
1786172278962,1,0,0,69.68
1786172279097,0,0,0,70.49
1786172279097,1,0,0,69.69
1786172279232,0,0,0,70.49
1786172279232,1,0,0,69.69
1786172279366,0,0,0,70.47
1786172279366,1,0,0,69.68
1786172279501,0,0,0,70.49
1786172279501,1,0,0,69.68
1786172279636,0,0,0,70.49
1786172279636,1,0,0,69.71
1786172279772,0,0,0,70.48
1786172279772,1,0,0,69.64
1786172279907,0,0,0,70.45
1786172279907,1,0,0,69.68
1786172280043,0,0,0,70.45
1786172280043,1,0,0,69.66
1786172280178,0,0,0,70.44
1786172280178,1,0,0,69.63
1786172280313,0,0,0,70.45
1786172280313,1,0,0,69.65
1786172280447,0,0,0,70.45
1786172280447,1,0,0,69.68
1786172280582,0,0,0,70.44
1786172280582,1,0,0,69.68
1786172280717,0,0,0,70.45
1786172280717,1,0,0,69.65
1786172280852,0,0,0,70.45
1786172280852,1,0,0,69.68
1786172280987,0,0,0,70.45
1786172280987,1,0,0,69.72
1786172281123,0,0,0,70.47
1786172281123,1,0,0,69.68
1786172281257,0,0,0,70.47
1786172281257,1,0,0,69.69
1786172281392,0,0,0,70.45
1786172281392,1,0,0,69.70
1786172281527,0,0,0,70.48
1786172281527,1,0,0,69.73
1786172281662,0,0,0,70.47
1786172281662,1,0,0,69.68
1786172281797,0,0,0,70.47
1786172281797,1,0,0,69.70
1786172281934,0,0,0,70.47
1786172281934,1,0,0,69.75
1786172282069,0,0,0,70.47
1786172282069,1,0,0,69.67
1786172282204,0,0,0,70.46
1786172282204,1,0,0,69.73
1786172282339,0,0,0,70.48
1786172282339,1,0,0,69.73
1786172282473,0,0,0,70.47
1786172282473,1,0,0,69.69
1786172282608,0,0,0,70.46
1786172282608,1,0,0,69.70
1786172282743,0,0,0,70.48
1786172282743,1,0,0,69.70
1786172282879,0,0,0,70.47
1786172282879,1,0,0,69.73
1786172283015,0,0,0,70.47
1786172283015,1,0,0,69.67
1786172283150,0,0,0,70.48
1786172283150,1,0,0,69.72
1786172283285,0,0,0,70.47
1786172283285,1,0,0,69.74
1786172283421,0,0,0,70.48
1786172283421,1,0,0,69.70
1786172283555,0,0,0,70.51
1786172283555,1,0,0,69.71
1786172283690,0,0,0,70.47
1786172283690,1,0,0,69.71
1786172283827,0,0,0,70.49
1786172283827,1,0,0,69.75
1786172283962,0,0,0,70.50
1786172283962,1,0,0,69.70
1786172284097,0,0,0,70.51
1786172284097,1,0,0,69.71
1786172284233,0,0,0,70.51
1786172284233,1,0,0,69.74
1786172284368,0,0,0,70.51
1786172284368,1,0,0,69.67
1786172284503,0,0,0,70.50
1786172284503,1,0,0,69.71
1786172284638,0,0,0,70.51
1786172284638,1,0,0,69.70
1786172284773,0,0,0,70.51
1786172284773,1,0,0,69.66
1786172284908,0,0,0,70.48
1786172284908,1,0,0,69.65
1786172285043,0,0,0,70.48
1786172285043,1,0,0,69.68
1786172285178,0,0,0,70.47
1786172285178,1,0,0,69.69
1786172285314,0,0,0,70.47
1786172285314,1,0,0,69.63
1786172285449,0,0,0,70.47
1786172285449,1,0,0,69.66
1786172285586,0,0,0,70.45
1786172285586,1,0,0,69.71
1786172285722,0,0,0,70.45
1786172285722,1,0,0,69.69
1786172285857,0,0,0,70.45
1786172285857,1,0,0,69.69
1786172285993,0,0,0,70.46
1786172285993,1,0,0,69.68
1786172286128,0,0,0,70.46
1786172286128,1,0,0,69.71
1786172286263,0,0,0,70.47
1786172286263,1,0,0,69.68
1786172286398,0,0,0,70.47
1786172286398,1,0,0,69.69
1786172286534,0,0,0,70.47
1786172286534,1,0,0,69.71
1786172286669,0,0,0,70.49
1786172286669,1,0,0,69.64
1786172286804,0,0,0,70.48
1786172286804,1,0,0,69.69
1786172286939,0,0,0,70.48
1786172286939,1,0,0,69.70
1786172287074,0,0,0,70.47
1786172287074,1,0,0,69.69
1786172287209,0,0,0,70.45
1786172287209,1,0,0,69.67
1786172287344,0,0,0,70.46
1786172287344,1,0,0,69.70
1786172287480,0,0,0,70.47
1786172287480,1,0,0,69.74
1786172287616,0,0,0,70.46
1786172287616,1,0,0,69.69
1786172287752,0,0,0,70.47
1786172287752,1,0,0,69.74
1786172287887,0,0,0,70.46
1786172287887,1,0,0,69.76
1786172288022,0,0,0,70.45
1786172288022,1,0,0,69.75
1786172288157,0,0,0,70.45
1786172288157,1,0,0,69.75
1786172288293,0,0,0,70.47
1786172288293,1,0,0,69.73
1786172288428,0,0,0,70.45
1786172288428,1,0,0,69.76
1786172288563,0,0,0,70.47
1786172288563,1,0,0,69.72
1786172288699,0,0,0,70.49
1786172288699,1,0,0,69.76
1786172288966,0,0,0,70.51
1786172288966,1,0,0,69.70
1786172289101,0,0,0,70.51
1786172289101,1,0,0,69.70
1786172289236,0,0,0,70.50
1786172289236,1,0,0,69.73
1786172289372,0,0,0,70.49
1786172289372,1,0,0,69.75
1786172289506,0,0,0,70.50
1786172289506,1,0,0,69.70
1786172289641,0,0,0,70.46
1786172289641,1,0,0,69.71
1786172289777,0,0,0,70.46
1786172289777,1,0,0,69.75
1786172289912,0,0,0,70.47
1786172289912,1,0,0,69.67
1786172290047,0,0,0,70.47
1786172290047,1,0,0,69.71
1786172290183,0,0,0,70.48
1786172290183,1,0,0,69.69
1786172290330,0,0,0,70.48
1786172290330,1,0,0,69.68
1786172290465,0,0,0,70.48
1786172290465,1,0,0,69.68
1786172290599,0,0,0,70.50
1786172290599,1,0,0,69.69
1786172290734,0,0,0,70.49
1786172290734,1,0,0,69.72
1786172290869,0,0,0,70.49
1786172290869,1,0,0,69.66
1786172291004,0,0,0,70.49
1786172291004,1,0,0,69.69
1786172291139,0,0,0,70.48
1786172291139,1,0,0,69.74
1786172291273,0,0,0,70.48
1786172291273,1,0,0,69.69
1786172291408,0,0,0,70.49
1786172291408,1,0,0,69.69
1786172291544,0,0,0,70.45
1786172291544,1,0,0,69.70
1786172291679,0,0,0,70.47
1786172291679,1,0,0,69.73
1786172291813,0,0,0,70.47
1786172291813,1,0,0,69.67
1786172291948,0,0,0,70.46
1786172291948,1,0,0,69.67
1786172292084,0,0,0,70.46
1786172292084,1,0,0,69.70
1786172292219,0,0,0,70.47
1786172292219,1,0,0,69.64
1786172292354,0,0,0,70.44
1786172292354,1,0,0,69.69
1786172292492,0,0,0,70.47
1786172292492,1,0,0,69.67
1786172292627,0,0,0,70.49
1786172292627,1,0,0,69.65
1786172292762,0,0,0,70.46
1786172292762,1,0,0,69.66
1786172292897,0,0,0,70.47
1786172292897,1,0,0,69.68
1786172293033,0,0,0,70.47
1786172293033,1,0,0,69.69
1786172293168,0,0,0,70.45
1786172293168,1,0,0,69.64
1786172293303,0,0,0,70.45
1786172293303,1,0,0,69.66
1786172293439,0,0,0,70.47
1786172293439,1,0,0,69.72
1786172293575,0,0,0,70.44
1786172293575,1,0,0,69.69
1786172293710,0,0,0,70.46
1786172293710,1,0,0,69.70
1786172293847,0,0,0,70.44
1786172293847,1,0,0,69.71
1786172293983,0,0,0,70.45
1786172293983,1,0,0,69.73
1786172294119,0,0,0,70.47
1786172294119,1,0,0,69.70
1786172294255,0,0,0,70.48
1786172294255,1,0,0,69.69
1786172294390,0,0,0,70.48
1786172294390,1,0,0,69.73
1786172294527,0,0,0,70.49
1786172294527,1,0,0,69.68
1786172294663,0,0,0,70.49
1786172294663,1,0,0,69.71
1786172294798,0,0,0,70.47
1786172294798,1,0,0,69.69
1786172294933,0,0,0,70.48
1786172294933,1,0,0,69.68
1786172295068,0,0,0,70.48
1786172295068,1,0,0,69.69
1786172295204,0,0,0,70.49
1786172295204,1,0,0,69.70
1786172295340,0,0,0,70.48
1786172295340,1,0,0,69.74
1786172295475,0,0,0,70.48
1786172295475,1,0,0,69.66
1786172295612,0,0,0,70.49
1786172295612,1,0,0,69.69
1786172295747,0,0,0,70.50
1786172295747,1,0,0,69.75
1786172295883,0,0,0,70.50
1786172295883,1,0,0,69.71
1786172296018,0,0,0,70.49
1786172296018,1,0,0,69.69
1786172296154,0,0,0,70.50
1786172296154,1,0,0,69.68
1786172296289,0,0,0,70.50
1786172296289,1,0,0,69.71
1786172296425,0,0,0,70.49
1786172296425,1,0,0,69.65
1786172296560,0,0,0,70.50
1786172296560,1,0,0,69.68
1786172296695,0,0,0,70.48
1786172296695,1,0,0,69.71
1786172296830,0,0,0,70.47
1786172296830,1,0,0,69.66
1786172296965,0,0,0,70.49
1786172296965,1,0,0,69.70
1786172297109,0,0,0,70.47
1786172297109,1,0,0,69.70
1786172297245,0,0,0,70.48
1786172297245,1,0,0,69.70
1786172297379,0,0,0,70.49
1786172297379,1,0,0,69.70
1786172297514,0,0,0,70.49
1786172297514,1,0,0,69.73
1786172297649,0,0,0,70.49
1786172297649,1,0,0,69.74
1786172297783,0,0,0,70.49
1786172297783,1,0,0,69.65
1786172297919,0,0,0,70.48
1786172297919,1,0,0,69.66
1786172298055,0,0,0,70.49
1786172298055,1,0,0,69.70
1786172298190,0,0,0,70.50
1786172298190,1,0,0,69.65
1786172298324,0,0,0,70.48
1786172298324,1,0,0,69.65
1786172298459,0,0,0,70.51
1786172298459,1,0,0,69.65
1786172298594,0,0,0,70.49
1786172298594,1,0,0,69.68
1786172298729,0,0,0,70.49
1786172298729,1,0,0,69.63
1786172298864,0,0,0,70.50
1786172298864,1,0,0,69.66
1786172298999,0,0,0,70.51
1786172298999,1,0,0,69.69
1786172299135,0,0,0,70.49
1786172299135,1,0,0,69.62
1786172299270,0,0,0,70.49
1786172299270,1,0,0,69.68
1786172299405,0,0,0,70.49
1786172299405,1,0,0,69.66
1786172299540,0,0,0,70.46
1786172299540,1,0,0,69.66
1786172299675,0,0,0,70.49
1786172299675,1,0,0,69.64
1786172299811,0,0,0,70.46
1786172299811,1,0,0,69.69
1786172299946,0,0,0,70.48
1786172299946,1,0,0,69.73
